"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis"	"sick"	"SM"	"sickSM"	2.0656657340713	0.575662398280218	0.62776429589005	0.0245615172747466	0.0734799972941844	0.0485197664186556	0.0984035423350245	NA	"abundance"	37	35
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)"	"sick"	"SM"	"sickSM"	1.20345505238622	0.575662398280218	0.253896016309227	0.0245966798256201	0.0734799972941844	0.0245966798256201	0.0564605605088097	NA	"abundance"	37	37
"HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)"	"sick"	"SM"	"sickSM"	1.82959226618123	0.575662398280218	0.52879755364447	0.0249566089298243	0.0742433010422807	0.0249566089298243	0.0567706644574833	NA	"abundance"	37	37
"PWY-7874: L-threonate degradation"	"sick"	"SM"	"sickSM"	2.93924426468018	0.575662398280218	1.00589600685754	0.0258114539487833	0.0764664323232704	0.0258114539487833	0.058451947283119	NA	"abundance"	37	33
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	"sick"	"SM"	"sickSM"	1.76278916653354	0.575662398280218	0.503429073846552	0.0259338143552487	0.0765101328073934	0.0259338143552487	0.0584668582562526	NA	"abundance"	37	37
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I"	"sick"	"SM"	"sickSM"	1.44147647924909	0.575662398280218	0.362739271856163	0.026063481407618	0.0765749391769274	0.026063481407618	0.0584980360482094	NA	"abundance"	37	37
"P122-PWY: heterolactic fermentation"	"sick"	"SM"	"sickSM"	2.08857266662756	0.575662398280218	0.647282845596327	0.0267018175848537	0.0781275403408682	0.0526906481073726	0.105590386088187	NA	"abundance"	37	36
"PWY-5845: superpathway of menaquinol-9 biosynthesis"	"sick"	"SM"	"sickSM"	1.92734425725968	0.575662398280218	0.579546658509575	0.0273194022771521	0.079503894445241	0.0538924548135234	0.107571895971657	NA	"abundance"	37	35
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)"	"sick"	"SM"	"sickSM"	-0.060606757493544	0.575662398280218	0.264699145355939	0.0275076765591129	0.079503894445241	0.0275076765591129	0.0609270906243509	NA	"abundance"	37	37
"PWY0-781: aspartate superpathway"	"sick"	"SM"	"sickSM"	1.73486124657481	0.575662398280218	0.497396787872528	0.0274834550646313	0.079503894445241	0.0274834550646313	0.0609270906243509	NA	"abundance"	37	37
